code,decoder,noiseModel,shots,rounds,distance,error_rate,runtime [s]
unrotated,union_find,si1000_004,10000.0,100.0,15,,
unrotated,union_find,si1000_004,10000.0,100.0,17,,
unrotated,union_find,si1000_004,10000.0,100.0,19,,
unrotated,union_find,si1000_004,10000.0,100.0,21,,
unrotated,union_find,si1000_004,10000.0,100.0,23,,
unrotated,union_find,si1000_004,10000.0,100.0,25,,
unrotated,union_find,si1000_004,10000.0,100.0,27,,
unrotated,union_find,si1000_004,10000.0,100.0,29,,
unrotated,union_find,si1000_004,10000.0,100.0,31,,
unrotated,union_find,willow,10000.0,100.0,3,,
unrotated,union_find,willow,10000.0,100.0,5,,
unrotated,union_find,willow,10000.0,100.0,7,,
unrotated,union_find,willow,10000.0,100.0,9,,
unrotated,union_find,willow,10000.0,100.0,11,,
unrotated,union_find,willow,10000.0,100.0,13,,
unrotated,union_find,willow,10000.0,100.0,15,,
unrotated,union_find,willow,10000.0,100.0,17,,
unrotated,union_find,willow,10000.0,100.0,19,,
unrotated,union_find,willow,10000.0,100.0,21,,
unrotated,union_find,willow,10000.0,100.0,23,,
unrotated,union_find,willow,10000.0,100.0,25,,
unrotated,union_find,willow,10000.0,100.0,27,,
unrotated,union_find,willow,10000.0,100.0,29,,
unrotated,union_find,willow,10000.0,100.0,31,,
rotated,sparse_blossom,si1000_004,10000.0,100.0,3,,
rotated,sparse_blossom,si1000_004,10000.0,100.0,5,,
rotated,sparse_blossom,si1000_004,10000.0,100.0,7,,
rotated,sparse_blossom,si1000_004,10000.0,100.0,9,,
rotated,sparse_blossom,si1000_004,10000.0,100.0,11,,
rotated,sparse_blossom,si1000_004,10000.0,100.0,13,,
rotated,sparse_blossom,si1000_004,10000.0,100.0,15,,
rotated,sparse_blossom,si1000_004,10000.0,100.0,17,,
rotated,sparse_blossom,si1000_004,10000.0,100.0,19,,
rotated,sparse_blossom,si1000_004,10000.0,100.0,21,,
rotated,sparse_blossom,si1000_004,10000.0,100.0,23,,
rotated,sparse_blossom,si1000_004,10000.0,100.0,25,,
rotated,sparse_blossom,si1000_004,10000.0,100.0,27,,
rotated,sparse_blossom,si1000_004,10000.0,100.0,29,,
rotated,sparse_blossom,si1000_004,10000.0,100.0,31,,
rotated,sparse_blossom,willow,10000.0,100.0,3,,
rotated,sparse_blossom,willow,10000.0,100.0,5,,
rotated,sparse_blossom,willow,10000.0,100.0,7,,
rotated,sparse_blossom,willow,10000.0,100.0,9,,
